missing_rate	n	piawka_theta_w_mean	pixy_theta_w_mean	piawka_pi_minus_theta_w_mean	pixy_pi_minus_theta_w_mean	piawka_pi_minus_theta_low_mean	piawka_theta_w_rel_to_nomiss_mean	pixy_theta_w_rel_to_nomiss_mean	piawka_pi_minus_theta_w_rel_to_nomiss_mean	pixy_pi_minus_theta_w_rel_to_nomiss_mean	piawka_pi_minus_theta_low_rel_to_nomiss_mean
0.0	128	0.1701897578125	0.1702698332144599	-0.06356540703124999	-0.06370264057632004	-0.01589444921875	1.0	1.0	1.0	1.0	1.0
0.05	128	0.169387125	0.16947271843340528	-0.06276144296875	-0.06290450749670709	-0.0152653265625	0.9952859159219688	0.995318520221661	0.9897327729379837	0.9911814283143447	0.8778243022234518
0.1	128	0.1685381328125	0.16862975794624369	-0.06191649453125	-0.06206565939563558	-0.015244778125	0.9902995745958609	0.9903677871925175	0.981513771407171	0.9840505429769241	0.8702105834153434
0.2	128	0.1666506640625	0.16675450256308863	-0.06001522109375	-0.0601795415380062	-0.015193659375	0.9792139885091349	0.9793543542916165	0.958215702435386	0.9639763859290937	0.857785286018403
0.4	128	0.16185675	0.1619939735506946	-0.05521412578125	-0.055424732419055225	-0.01507328828125	0.9510580947527955	0.9513956200723963	0.9003920004584054	0.9167910756423583	0.8189217129037005
