sample_id	tool	threads	group_set_baseline	group_set_compare	elapsed_sec_full_groups	elapsed_sec_groups10	elapsed_ratio_groups10_over_full	max_rss_kb_full_groups	max_rss_kb_groups10	max_rss_ratio_groups10_over_full
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep61	piawka	1	syn_groups.tsv	syn_groups_10.tsv	39.652	8.166	0.2059416927267225	24192.0	23888.0	0.9874338624338624
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep61	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.197	7.902	0.8591932151788627	486000.0	477824.0	0.9831769547325103
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep62	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.661	8.352	0.20540567128206388	24128.0	23552.0	0.9761273209549072
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep62	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.227	8.421	0.912647664462989	498128.0	503952.0	1.011691774001863
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep63	piawka	1	syn_groups.tsv	syn_groups_10.tsv	39.652	8.096	0.20417633410672853	24096.0	23632.0	0.9807436918990704
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep63	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.233	8.19	0.8870356330553448	510048.0	504992.0	0.9900872074785119
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep64	piawka	1	syn_groups.tsv	syn_groups_10.tsv	39.947	8.154	0.2041204596089819	24480.0	23680.0	0.9673202614379085
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep64	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.251	8.179	0.8841206356069615	506448.0	507584.0	1.002243073326383
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep65	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.515	8.335	0.2057262742194249	24208.0	23664.0	0.9775280898876404
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep65	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.157	8.435	0.9211532161188163	501968.0	502768.0	1.0015937270901731
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep67	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.061	8.343	0.20825740745363322	23872.0	23776.0	0.9959785522788204
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep67	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.18	8.172	0.8901960784313726	500624.0	493232.0	0.9852344274345617
