sample_id	run_id	threads	tool	elapsed_sec	cpu_total_sec	max_rss_kb	time_file
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	piawka_t8	8	piawka	3.425	16.070	141520	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10/piawka_t8.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	pixy	1	pixy	5.002	5.950	294752	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10/pixy.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	pixy_t2	2	pixy	10.038	11.240	498976	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10/pixy_t2.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	pixy_t4	4	pixy	5.102	13.880	824400	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10/pixy_t4.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	pixy_t8	8	pixy	4.573	18.330	1383232	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10/pixy_t8.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	piawka	1	piawka	19.651	19.590	23296	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11/piawka.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	piawka_t2	2	piawka	10.257	19.710	41136	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11/piawka_t2.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	piawka_t4	4	piawka	5.366	20.040	74704	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11/piawka_t4.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	piawka_t8	8	piawka	3.615	20.140	141008	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11/piawka_t8.time.tsv
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	pixy	1	pixy	4.979	6.370	300144	/Users/ntikhomirov/agents/claude/piawka_paper/results/resource_usage/rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11/pixy.time.tsv
