sample_id	n_overlap	mean_abs_diff	max_abs_diff	mean_rel_diff	max_rel_diff
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep0	1	0.0003490000000000021	0.0003490000000000021	0.007415859740381206	0.007415859740381206
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	1	0.00032490000000000296	0.00032490000000000296	0.006774070467846683	0.006774070467846683
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep10	1	0.00034899999999999515	0.00034899999999999515	0.007264870085804467	0.007264870085804467
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	1	0.0003236000000000003	0.0003236000000000003	0.007076394887326568	0.007076394887326568
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	1	0.00035530000000000284	0.00035530000000000284	0.007248387320524439	0.007248387320524439
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	1	0.00031599999999999684	0.00031599999999999684	0.006579824093816565	0.006579824093816565
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	1	0.00033859999999999446	0.00033859999999999446	0.007165242858563575	0.007165242858563575
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	1	0.0003414999999999946	0.0003414999999999946	0.0072412908369573975	0.0072412908369573975
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	1	0.00031549999999999634	0.00031549999999999634	0.006770778564423182	0.006770778564423182
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep2	1	0.0003382999999999997	0.0003382999999999997	0.0073198173832139625	0.0073198173832139625
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep21	1	0.0002923999999999982	0.0002923999999999982	0.005877942237759109	0.005877942237759109
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep23	1	0.0003633000000000039	0.0003633000000000039	0.007920105688611092	0.007920105688611092
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep3	1	0.0003150000000000028	0.0003150000000000028	0.00672235192686087	0.00672235192686087
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep45	1	0.0003481999999999999	0.0003481999999999999	0.0072213845895403965	0.0072213845895403965
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep46	1	0.0003681999999999991	0.0003681999999999991	0.007712399955593984	0.007712399955593984
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep47	1	0.00030709999999999765	0.00030709999999999765	0.006586100775276872	0.006586100775276872
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep48	1	0.0003398000000000012	0.0003398000000000012	0.007096153083109385	0.007096153083109385
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep49	1	0.00034320000000000184	0.00034320000000000184	0.007261432736536132	0.007261432736536132
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep50	1	0.0003519000000000022	0.0003519000000000022	0.007250856132629517	0.007250856132629517
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep51	1	0.00031480000000000397	0.00031480000000000397	0.0063647005780394375	0.0063647005780394375
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep52	1	0.00030759999999999815	0.00030759999999999815	0.006541048481587845	0.006541048481587845
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep53	1	0.00029090000000000366	0.00029090000000000366	0.00596773035459691	0.00596773035459691
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep54	1	0.000372299999999999	0.000372299999999999	0.007685051202711525	0.007685051202711525
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep55	1	0.00031090000000000284	0.00031090000000000284	0.006626977275585543	0.006626977275585543
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep56	1	0.0003517000000000034	0.0003517000000000034	0.007284982206995476	0.007284982206995476
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep57	1	0.0003302000000000027	0.0003302000000000027	0.0069192116038238535	0.0069192116038238535
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep58	1	0.00035289999999999627	0.00035289999999999627	0.007441709421174526	0.007441709421174526
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep59	1	0.0003266999999999992	0.0003266999999999992	0.006863344446615264	0.006863344446615264
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep6	1	0.0003263999999999975	0.0003263999999999975	0.0068924012543156166	0.0068924012543156166
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep60	1	0.00032949999999999646	0.00032949999999999646	0.006845544163628169	0.006845544163628169
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep61	1	0.0003478000000000023	0.0003478000000000023	0.0072747808989939615	0.0072747808989939615
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep62	1	0.000324899999999996	0.000324899999999996	0.006959751685313746	0.006959751685313746
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep63	1	0.00034220000000000084	0.00034220000000000084	0.007172665896719498	0.007172665896719498
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep64	1	0.00032300000000000384	0.00032300000000000384	0.006843263834304113	0.006843263834304113
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep65	1	0.00034189999999999915	0.00034189999999999915	0.007266382302246631	0.007266382302246631
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep66	1	0.00035039999999999377	0.00035039999999999377	0.007413739114244234	0.007413739114244234
