source_class	n	piawka_pi_minus_theta_w_mean	pixy_pi_minus_theta_w_mean	piawka_pi_minus_theta_low_mean
bneck	320	-0.1170005265625	-0.11700965135188308	-0.0265033725
onepop	320	-0.00438855	-0.004701181218406578	-0.004165228125
