sample_id	tool	threads	window_set_baseline	window_set_compare	elapsed_sec_syn_win	elapsed_sec_syn_win_threads8	elapsed_ratio_threads8_over_syn_win	max_rss_kb_syn_win	max_rss_kb_syn_win_threads8	max_rss_ratio_threads8_over_syn_win
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep9	piawka	1	syn_win.bed	syn_win_threads8.bed	19.213	19.256	1.0022380679748086	23376.0	23808.0	1.0184804928131417
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep9	pixy	1	syn_win.bed	syn_win_threads8.bed	4.872	8.959	1.8388752052545156	295488.0	192320.0	0.6508555338964696
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep92	piawka	1	syn_win.bed	syn_win_threads8.bed	18.501	18.484	0.9990811307496892	23600.0	23968.0	1.015593220338983
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep92	pixy	1	syn_win.bed	syn_win_threads8.bed	4.893	8.863	1.8113631718781933	292736.0	190896.0	0.6521097507651946
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep93	piawka	1	syn_win.bed	syn_win_threads8.bed	18.46	18.724	1.0143011917659805	23344.0	23696.0	1.0150788211103496
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep93	pixy	1	syn_win.bed	syn_win_threads8.bed	4.895	8.916	1.821450459652707	295248.0	200128.0	0.6778301631171083
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep94	piawka	1	syn_win.bed	syn_win_threads8.bed	18.503	18.49	0.9992974112306111	23152.0	23856.0	1.0304077401520386
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep94	pixy	1	syn_win.bed	syn_win_threads8.bed	4.886	8.935	1.8286942284076955	293872.0	194224.0	0.6609135950345729
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep95	piawka	1	syn_win.bed	syn_win_threads8.bed	18.968	19.008	1.0021088148460564	23424.0	23856.0	1.0184426229508197
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep95	pixy	1	syn_win.bed	syn_win_threads8.bed	5.149	8.952	1.7385900174791222	295840.0	175792.0	0.5942130881557599
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep96	piawka	1	syn_win.bed	syn_win_threads8.bed	18.79	18.484	0.983714741883981	23472.0	24016.0	1.0231765507839128
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep96	pixy	1	syn_win.bed	syn_win_threads8.bed	4.918	8.864	1.802358682391216	296224.0	183280.0	0.6187209679161716
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	piawka	1	syn_win.bed	syn_win_threads8.bed	39.165	39.045	0.9969360398314823	23472.0	24064.0	1.025221540558964
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	pixy	1	syn_win.bed	syn_win_threads8.bed	8.913	12.755	1.4310557612476158	492656.0	160160.0	0.32509499529083175
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	piawka	1	syn_win.bed	syn_win_threads8.bed	38.95	39.047	1.0024903722721437	23248.0	23680.0	1.018582243633861
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	pixy	1	syn_win.bed	syn_win_threads8.bed	8.945	12.831	1.4344326439351591	500000.0	170400.0	0.3408
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep12	piawka	1	syn_win.bed	syn_win_threads8.bed	38.617	38.657	1.0010358132428723	23680.0	23664.0	0.9993243243243243
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep12	pixy	1	syn_win.bed	syn_win_threads8.bed	8.97	12.796	1.4265328874024525	504112.0	157744.0	0.31291459040848063
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep13	piawka	1	syn_win.bed	syn_win_threads8.bed	39.161	39.38	1.0055922984602028	23776.0	23760.0	0.9993270524899058
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep13	pixy	1	syn_win.bed	syn_win_threads8.bed	8.908	12.846	1.44207453973956	502000.0	161568.0	0.32184860557768924
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	piawka	1	syn_win.bed	syn_win_threads8.bed	39.96	40.014	1.0013513513513514	23504.0	24256.0	1.0319945541184479
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	pixy	1	syn_win.bed	syn_win_threads8.bed	8.962	12.818	1.4302611024324927	507344.0	170656.0	0.3363713772115172
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	piawka	1	syn_win.bed	syn_win_threads8.bed	39.044	39.101	1.0014598914045694	23568.0	24080.0	1.021724372029871
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	pixy	1	syn_win.bed	syn_win_threads8.bed	8.982	12.767	1.4213983522600757	501488.0	168912.0	0.3368216188622659
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	piawka	1	syn_win.bed	syn_win_threads8.bed	38.98	39.839	1.0220369420215496	23888.0	24512.0	1.0261219022103147
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	pixy	1	syn_win.bed	syn_win_threads8.bed	9.004	12.832	1.4251443802754333	499248.0	173168.0	0.34685767394160816
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	piawka	1	syn_win.bed	syn_win_threads8.bed	38.74	38.952	1.0054723799690242	23664.0	24192.0	1.0223123732251522
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	pixy	1	syn_win.bed	syn_win_threads8.bed	8.955	13.014	1.4532663316582914	504656.0	165664.0	0.32827113915221456
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	piawka	1	syn_win.bed	syn_win_threads8.bed	39.589	38.951	0.9838844123367603	23824.0	24240.0	1.0174613834788448
