tool	n_samples	elapsed_ratio_mean	elapsed_ratio_median	max_rss_ratio_mean	max_rss_ratio_median
piawka	128	1.0014411972601265	1.0003079023132444	1.0130324467018796	1.0153201953995592
pixy	128	1.6171748482730783	1.5963937332569103	0.5102529555801629	0.49077845856977387
