missing_rate	n	piawka_pi_mean	pixy_pi_mean	piawka_theta_w_mean	piawka_theta_low_mean	piawka_pi_rel_mean	pixy_pi_rel_mean
0.005	130	0.10573010307692307	0.1056735213459325	0.16937706153846152	0.12117201999999999	1.000010823909225	0.9996700900715411
0.01	130	0.10572601615384615	0.10566936228315964	0.1685139076923077	0.12114799846153845	0.9999590084047766	0.9996149385898991
0.02	130	0.10574001923076924	0.10568049268599576	0.16660080769230767	0.12111296076923077	1.0001516411438165	0.9997777067661513
0.04	130	0.10574784153846155	0.10567541572107182	0.16173924615384616	0.12100350538461539	1.0002011262114106	0.9996904450989794
